symbol,market,exchange,currency,name_kr,name_en,base_slug,ko_slug,en_slug
089970.KQ,KOSDAQ,KRX,KRW,브이엠,089970,089970,브이엠-주가-전망,089970-stock-forecast
090360.KQ,KOSDAQ,KRX,KRW,로보스타,090360,090360,로보스타-주가-전망,090360-stock-forecast
090710.KQ,KOSDAQ,KRX,KRW,휴림로봇,090710,090710,휴림로봇-주가-전망,090710-stock-forecast
094170.KQ,KOSDAQ,KRX,KRW,동운아나텍,094170,094170,동운아나텍-주가-전망,094170-stock-forecast
095610.KQ,KOSDAQ,KRX,KRW,테스,095610,095610,테스-주가-전망,095610-stock-forecast
096530.KQ,KOSDAQ,KRX,KRW,씨젠,096530,096530,씨젠-주가-전망,096530-stock-forecast
098460.KQ,KOSDAQ,KRX,KRW,고영,098460,098460,고영-주가-전망,098460-stock-forecast
099190.KQ,KOSDAQ,KRX,KRW,아이센스,099190,099190,아이센스-주가-전망,099190-stock-forecast
099320.KQ,KOSDAQ,KRX,KRW,쎄트렉아이,099320,099320,쎄트렉아이-주가-전망,099320-stock-forecast
100790.KQ,KOSDAQ,KRX,KRW,미래에셋벤처투자,100790,100790,미래에셋벤처투자-주가-전망,100790-stock-forecast
101490.KQ,KOSDAQ,KRX,KRW,에스앤에스텍,101490,101490,에스앤에스텍-주가-전망,101490-stock-forecast
102710.KQ,KOSDAQ,KRX,KRW,이엔에프테크놀로지,102710,102710,이엔에프테크놀로지-주가-전망,102710-stock-forecast
102940.KQ,KOSDAQ,KRX,KRW,코오롱생명과학,102940,102940,코오롱생명과학-주가-전망,102940-stock-forecast
108490.KQ,KOSDAQ,KRX,KRW,로보티즈,108490,108490,로보티즈-주가-전망,108490-stock-forecast
115180.KQ,KOSDAQ,KRX,KRW,큐리언트,115180,115180,큐리언트-주가-전망,115180-stock-forecast
119850.KQ,KOSDAQ,KRX,KRW,지엔씨에너지,119850,119850,지엔씨에너지-주가-전망,119850-stock-forecast
121600.KQ,KOSDAQ,KRX,KRW,나노신소재,121600,121600,나노신소재-주가-전망,121600-stock-forecast
122870.KQ,KOSDAQ,KRX,KRW,와이지엔터테인먼트,122870,122870,와이지엔터테인먼트-주가-전망,122870-stock-forecast
124500.KQ,KOSDAQ,KRX,KRW,아이티센글로벌,124500,124500,아이티센글로벌-주가-전망,124500-stock-forecast
125490.KQ,KOSDAQ,KRX,KRW,한라캐스트,125490,125490,한라캐스트-주가-전망,125490-stock-forecast
126340.KQ,KOSDAQ,KRX,KRW,비나텍,126340,126340,비나텍-주가-전망,126340-stock-forecast
127120.KQ,KOSDAQ,KRX,KRW,제이에스링크,127120,127120,제이에스링크-주가-전망,127120-stock-forecast
131290.KQ,KOSDAQ,KRX,KRW,티에스이,131290,131290,티에스이-주가-전망,131290-stock-forecast
131970.KQ,KOSDAQ,KRX,KRW,두산테스나,131970,131970,두산테스나-주가-전망,131970-stock-forecast
137400.KQ,KOSDAQ,KRX,KRW,피엔티,137400,137400,피엔티-주가-전망,137400-stock-forecast
140410.KQ,KOSDAQ,KRX,KRW,메지온,140410,140410,메지온-주가-전망,140410-stock-forecast
140860.KQ,KOSDAQ,KRX,KRW,파크시스템스,140860,140860,파크시스템스-주가-전망,140860-stock-forecast
141080.KQ,KOSDAQ,KRX,KRW,리가켐바이오,141080,141080,리가켐바이오-주가-전망,141080-stock-forecast
145020.KQ,KOSDAQ,KRX,KRW,휴젤,145020,145020,휴젤-주가-전망,145020-stock-forecast
160190.KQ,KOSDAQ,KRX,KRW,하이젠알앤엠,160190,160190,하이젠알앤엠-주가-전망,160190-stock-forecast
161580.KQ,KOSDAQ,KRX,KRW,필옵틱스,161580,161580,필옵틱스-주가-전망,161580-stock-forecast
166090.KQ,KOSDAQ,KRX,KRW,하나머티리얼즈,166090,166090,하나머티리얼즈-주가-전망,166090-stock-forecast
171090.KQ,KOSDAQ,KRX,KRW,선익시스템,171090,171090,선익시스템-주가-전망,171090-stock-forecast
174900.KQ,KOSDAQ,KRX,KRW,앱클론,174900,174900,앱클론-주가-전망,174900-stock-forecast
178320.KQ,KOSDAQ,KRX,KRW,서진시스템,178320,178320,서진시스템-주가-전망,178320-stock-forecast
183300.KQ,KOSDAQ,KRX,KRW,코미코,183300,183300,코미코-주가-전망,183300-stock-forecast
189300.KQ,KOSDAQ,KRX,KRW,인텔리안테크,189300,189300,인텔리안테크-주가-전망,189300-stock-forecast
200710.KQ,KOSDAQ,KRX,KRW,에이디테크놀로지,200710,200710,에이디테크놀로지-주가-전망,200710-stock-forecast
204270.KQ,KOSDAQ,KRX,KRW,제이앤티씨,204270,204270,제이앤티씨-주가-전망,204270-stock-forecast
211050.KQ,KOSDAQ,KRX,KRW,인카금융서비스,211050,211050,인카금융서비스-주가-전망,211050-stock-forecast
213420.KQ,KOSDAQ,KRX,KRW,덕산네오룩스,213420,213420,덕산네오룩스-주가-전망,213420-stock-forecast
214370.KQ,KOSDAQ,KRX,KRW,케어젠,214370,214370,케어젠-주가-전망,214370-stock-forecast
214430.KQ,KOSDAQ,KRX,KRW,아이쓰리시스템,214430,214430,아이쓰리시스템-주가-전망,214430-stock-forecast
222080.KQ,KOSDAQ,KRX,KRW,씨아이에스,222080,222080,씨아이에스-주가-전망,222080-stock-forecast
222800.KQ,KOSDAQ,KRX,KRW,심텍,222800,222800,심텍-주가-전망,222800-stock-forecast
225570.KQ,KOSDAQ,KRX,KRW,넥슨게임즈,225570,225570,넥슨게임즈-주가-전망,225570-stock-forecast
226950.KQ,KOSDAQ,KRX,KRW,올릭스,226950,226950,올릭스-주가-전망,226950-stock-forecast
232140.KQ,KOSDAQ,KRX,KRW,와이씨,232140,232140,와이씨-주가-전망,232140-stock-forecast
237690.KQ,KOSDAQ,KRX,KRW,에스티팜,237690,237690,에스티팜-주가-전망,237690-stock-forecast
042000.KQ,KOSDAQ,KRX,KRW,카페24,24,24,카페24-주가-전망,24-stock-forecast
241710.KQ,KOSDAQ,KRX,KRW,코스메카코리아,241710,241710,코스메카코리아-주가-전망,241710-stock-forecast
251970.KQ,KOSDAQ,KRX,KRW,펌텍코리아,251970,251970,펌텍코리아-주가-전망,251970-stock-forecast
252990.KQ,KOSDAQ,KRX,KRW,샘씨엔에스,252990,252990,샘씨엔에스-주가-전망,252990-stock-forecast
253590.KQ,KOSDAQ,KRX,KRW,네오셈,253590,253590,네오셈-주가-전망,253590-stock-forecast
257720.KQ,KOSDAQ,KRX,KRW,실리콘투,257720,257720,실리콘투-주가-전망,257720-stock-forecast
272290.KQ,KOSDAQ,KRX,KRW,이녹스첨단소재,272290,272290,이녹스첨단소재-주가-전망,272290-stock-forecast
277810.KQ,KOSDAQ,KRX,KRW,레인보우로보틱스,277810,277810,레인보우로보틱스-주가-전망,277810-stock-forecast
278280.KQ,KOSDAQ,KRX,KRW,천보,278280,278280,천보-주가-전망,278280-stock-forecast
281740.KQ,KOSDAQ,KRX,KRW,레이크머티리얼즈,281740,281740,레이크머티리얼즈-주가-전망,281740-stock-forecast
287840.KQ,KOSDAQ,KRX,KRW,인투셀,287840,287840,인투셀-주가-전망,287840-stock-forecast
290650.KQ,KOSDAQ,KRX,KRW,엘앤씨바이오,290650,290650,엘앤씨바이오-주가-전망,290650-stock-forecast
295310.KQ,KOSDAQ,KRX,KRW,에이치브이엠,295310,295310,에이치브이엠-주가-전망,295310-stock-forecast
298380.KQ,KOSDAQ,KRX,KRW,에이비엘바이오,298380,298380,에이비엘바이오-주가-전망,298380-stock-forecast
310210.KQ,KOSDAQ,KRX,KRW,보로노이,310210,310210,보로노이-주가-전망,310210-stock-forecast
319400.KQ,KOSDAQ,KRX,KRW,현대무벡스,319400,319400,현대무벡스-주가-전망,319400-stock-forecast
319660.KQ,KOSDAQ,KRX,KRW,피에스케이,319660,319660,피에스케이-주가-전망,319660-stock-forecast
323280.KQ,KOSDAQ,KRX,KRW,태성,323280,323280,태성-주가-전망,323280-stock-forecast
328130.KQ,KOSDAQ,KRX,KRW,루닛,328130,328130,루닛-주가-전망,328130-stock-forecast
336570.KQ,KOSDAQ,KRX,KRW,원텍,336570,336570,원텍-주가-전망,336570-stock-forecast
347700.KQ,KOSDAQ,KRX,KRW,스피어,347700,347700,스피어-주가-전망,347700-stock-forecast
347850.KQ,KOSDAQ,KRX,KRW,디앤디파마텍,347850,347850,디앤디파마텍-주가-전망,347850-stock-forecast
348210.KQ,KOSDAQ,KRX,KRW,넥스틴,348210,348210,넥스틴-주가-전망,348210-stock-forecast
348340.KQ,KOSDAQ,KRX,KRW,뉴로메카,348340,348340,뉴로메카-주가-전망,348340-stock-forecast
348370.KQ,KOSDAQ,KRX,KRW,엔켐,348370,348370,엔켐-주가-전망,348370-stock-forecast
356860.KQ,KOSDAQ,KRX,KRW,티엘비,356860,356860,티엘비-주가-전망,356860-stock-forecast
357780.KQ,KOSDAQ,KRX,KRW,솔브레인,357780,357780,솔브레인-주가-전망,357780-stock-forecast
358570.KQ,KOSDAQ,KRX,KRW,지아이이노베이션,358570,358570,지아이이노베이션-주가-전망,358570-stock-forecast
365340.KQ,KOSDAQ,KRX,KRW,성일하이텍,365340,365340,성일하이텍-주가-전망,365340-stock-forecast
372320.KQ,KOSDAQ,KRX,KRW,큐로셀,372320,372320,큐로셀-주가-전망,372320-stock-forecast
376300.KQ,KOSDAQ,KRX,KRW,디어유,376300,376300,디어유-주가-전망,376300-stock-forecast
